vessel_id,lon,lat,speed,dt,dt_min,dt_max
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64086,37.94799,2.9,2019-04-29 20:00:47,2019-04-29 20:00:17,2019-04-29 20:01:17
5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,23.62883,37.93992,10.2,2019-04-29 20:40:52,2019-04-29 20:40:22,2019-04-29 20:41:22
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.64048,37.94359,3.6,2019-04-29 20:00:53,2019-04-29 20:00:23,2019-04-29 20:01:23
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64094,37.94795,2.4,2019-04-29 20:00:56,2019-04-29 20:00:26,2019-04-29 20:01:26
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64097,37.94793,2.1,2019-04-29 20:01:01,2019-04-29 20:00:31,2019-04-29 20:01:31
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.64053,37.94346,1.9,2019-04-29 20:01:04,2019-04-29 20:00:34,2019-04-29 20:01:34
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.641,37.94791,1.9,2019-04-29 20:01:05,2019-04-29 20:00:35,2019-04-29 20:01:35
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64101,37.9479,1.9,2019-04-29 20:01:08,2019-04-29 20:00:38,2019-04-29 20:01:38
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64102,37.94788,1.7,2019-04-29 20:01:11,2019-04-29 20:00:41,2019-04-29 20:01:41
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64104,37.94785,1.4,2019-04-29 20:01:19,2019-04-29 20:00:49,2019-04-29 20:01:49
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64104,37.94783,1.2,2019-04-29 20:01:22,2019-04-29 20:00:52,2019-04-29 20:01:52
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.64054,37.94338,0.1,2019-04-29 20:01:23,2019-04-29 20:00:53,2019-04-29 20:01:53
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64104,37.94783,1.1,2019-04-29 20:01:25,2019-04-29 20:00:55,2019-04-29 20:01:55
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64104,37.94781,1,2019-04-29 20:01:29,2019-04-29 20:00:59,2019-04-29 20:01:59
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64103,37.9478,0.9,2019-04-29 20:01:31,2019-04-29 20:01:01,2019-04-29 20:02:01
ce1b88a7983b03e73811ccc8ea111f6879a89ae04eca20ee8f6a8c1c080917b5,23.63628,37.93988,0.1,2019-04-29 20:01:32,2019-04-29 20:01:02,2019-04-29 20:02:02
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.64054,37.9434,0.5,2019-04-29 20:01:32,2019-04-29 20:01:02,2019-04-29 20:02:02
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64102,37.94779,0.9,2019-04-29 20:01:34,2019-04-29 20:01:04,2019-04-29 20:02:04
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.641,37.94778,0.9,2019-04-29 20:01:38,2019-04-29 20:01:08,2019-04-29 20:02:08
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.64055,37.94344,1.3,2019-04-29 20:01:42,2019-04-29 20:01:12,2019-04-29 20:02:12
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64098,37.94777,0.9,2019-04-29 20:01:42,2019-04-29 20:01:12,2019-04-29 20:02:12
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64096,37.94777,0.9,2019-04-29 20:01:46,2019-04-29 20:01:16,2019-04-29 20:02:16
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64093,37.94776,1,2019-04-29 20:01:51,2019-04-29 20:01:21,2019-04-29 20:02:21
ce1b88a7983b03e73811ccc8ea111f6879a89ae04eca20ee8f6a8c1c080917b5,23.63628,37.93988,0.1,2019-04-29 20:01:51,2019-04-29 20:01:21,2019-04-29 20:02:21
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.6406,37.94352,1.6,2019-04-29 20:01:53,2019-04-29 20:01:23,2019-04-29 20:02:23
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64085,37.94777,1,2019-04-29 20:02:01,2019-04-29 20:01:31,2019-04-29 20:02:31
9853c62eb450dee1bf42639a61e714abcb743428820cf743ce59e4a058c4a842,23.62616,37.93865,1.3,2019-04-29 20:02:01,2019-04-29 20:01:31,2019-04-29 20:02:31
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64083,37.94777,1.1,2019-04-29 20:02:05,2019-04-29 20:01:35,2019-04-29 20:02:35
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.6407,37.94368,2.5,2019-04-29 20:02:12,2019-04-29 20:01:42,2019-04-29 20:02:42
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64078,37.94778,0.9,2019-04-29 20:02:15,2019-04-29 20:01:45,2019-04-29 20:02:45
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64077,37.94777,0.8,2019-04-29 20:02:19,2019-04-29 20:01:49,2019-04-29 20:02:49
ce1b88a7983b03e73811ccc8ea111f6879a89ae04eca20ee8f6a8c1c080917b5,23.63629,37.93988,0.1,2019-04-29 20:02:21,2019-04-29 20:01:51,2019-04-29 20:02:51
